Alias	Original Name
castformrainy	Castform (Rainy Form)
rainy castform	Castform (Rainy Form)
rainycastform	Castform (Rainy Form)
castformr	Castform (Rainy Form)
rcastform	Castform (Rainy Form)
r castform	Castform (Rainy Form)
castform snowy form	Castform (Snowy Form)
castform snowy	Castform (Snowy Form)
castformsnowy	Castform (Snowy Form)
snowy castform	Castform (Snowy Form)
snowycastform	Castform (Snowy Form)
castformsunny	Castform (Sunny Form)
castform sunny	Castform (Sunny Form)
castform sunny form	Castform (Sunny Form)
sunnycastform	Castform (Sunny Form)
sunny castform	Castform (Sunny Form)
wcastform	Castform (Winking)
castformw	Castform (Winking)
w castform	Castform (Winking)
winking castform	Castform (Winking)
winkingcastform	Castform (Winking)
castform winking	Castform (Winking)
castformwinking	Castform (Winking)
castform w	Castform (Winking)
wchansey	Chansey (Winking)
w chansey	Chansey (Winking)
chanseyw	Chansey (Winking)
winking chansey	Chansey (Winking)
winkingchansey	Chansey (Winking)
chansey winking	Chansey (Winking)
chanseywinking	Chansey (Winking)
chansey w	Chansey (Winking)
zard	Charizard
char	Charizard
szard	Charizard (Shiny)
schar	Charizard (Shiny)
shiny charizard	Charizard (Shiny)
shinycharizard	Charizard (Shiny)
scharizard	Charizard (Shiny)
s charizard	Charizard (Shiny)
charizards	Charizard (Shiny)
charizard shiny	Charizard (Shiny)
charizardshiny	Charizard (Shiny)
charizard s	Charizard (Shiny)
wcharmander	Charmander (Winking)
w charmander	Charmander (Winking)
charmanderw	Charmander (Winking)
charmander w	Charmander (Winking)
winking charmander	Charmander (Winking)
winkingcharmander	Charmander (Winking)
charmander winking	Charmander (Winking)
charmanderwinking	Charmander (Winking)
wcherrim	Cherrim (Winking)
w cherrim	Cherrim (Winking)
cherrimw	Cherrim (Winking)
cherrim w	Cherrim (Winking)
winking cherrim	Cherrim (Winking)
winkingcherrim	Cherrim (Winking)
cherrim winking	Cherrim (Winking)
cherrimwinking	Cherrim (Winking)
wcherubi	Cherubi (Winking)
w cherubi	Cherubi (Winking)
cherubiw	Cherubi (Winking)
cherubi w	Cherubi (Winking)
winking cherubi	Cherubi (Winking)
winkingcherubi	Cherubi (Winking)
cherubi winking	Cherubi (Winking)
cherubiwinking	Cherubi (Winking)
wchespin	Chespin (Winking)
w chespin	Chespin (Winking)
chespinw	Chespin (Winking)
winking chespin	Chespin (Winking)
winkingchespin	Chespin (Winking)
chespin winking	Chespin (Winking)
chespinwinking	Chespin (Winking)
chespin w	Chespin (Winking)
wchikorita	Chikorita (Winking)
w chikorita	Chikorita (Winking)
chikoritaw	Chikorita (Winking)
chikorita w	Chikorita (Winking)
winking chikorita	Chikorita (Winking)
winkingchikorita	Chikorita (Winking)
chikorita winking	Chikorita (Winking)
chikoritawinking	Chikorita (Winking)
wchimchar	Chimchar (Winking)
w chimchar	Chimchar (Winking)
chimcharw	Chimchar (Winking)
winking chimchar	Chimchar (Winking)
winkingchimchar	Chimchar (Winking)
chimchar winking	Chimchar (Winking)
chimcharwinking	Chimchar (Winking)
wchim	Chimchar (Winking)
wchimp	Chimchar (Winking)
chimchar w	Chimchar (Winking)
wclefable	Clefable (Winking)
w clefable	Clefable (Winking)
winking clefable	Clefable (Winking)
winkingclefable	Clefable (Winking)
clefablew	Clefable (Winking)
clefable w	Clefable (Winking)
clefable winking	Clefable (Winking)
clefablewinking	Clefable (Winking)
wclefairy	Clefairy (Winking)
w clefairy	Clefairy (Winking)
clefairyw	Clefairy (Winking)
clefairy w	Clefairy (Winking)
winking clefairy	Clefairy (Winking)
winkingclefairy	Clefairy (Winking)
clefairy winking	Clefairy (Winking)
clefairywinking	Clefairy (Winking)
CC	Cloud Clear
cloudclear	Cloud Clear
CC++	Cloud Clear++
cloudclear++	Cloud Clear++
cloudshot	Cloud Shot
electric combo	Conduction
electriccombo	Conduction
Conk	Conkeldurr
nebby	Cosmog
wcottonee	Cottonee (Winking)
w cottonee	Cottonee (Winking)
cottoneew	Cottonee (Winking)
winking cottonee	Cottonee (Winking)
winkingcottonee	Cottonee (Winking)
cottonee winking	Cottonee (Winking)
cottoneewinking	Cottonee (Winking)
cottonee w	Cottonee (Winking)
Cress	Cresselia
ca	Cross Attack
crossattack	Cross Attack
CA+	Cross Attack+
crossattack+	Cross Attack+
crowdcontrol	Crowd Control
crowdcontrol+	Crowd Control+
crowdpower	Crowd Power
crushingstep	Crushing Step
cs	Crushing Step
holiday cubchoo	Cubchoo (Holiday)
holidaycubchoo	Cubchoo (Holiday)
cubchoo holiday	Cubchoo (Holiday)
cubchooholiday	Cubchoo (Holiday)
hcubchoo	Cubchoo (Holiday)
cubchooh	Cubchoo (Holiday)
h cubchoo	Cubchoo (Holiday)
cubchoo h	Cubchoo (Holiday)
wcyndaquil	Cyndaquil (Winking)
w cyndaquil	Cyndaquil (Winking)
cyndaquilw	Cyndaquil (Winking)
cyndaquil w	Cyndaquil (Winking)
winking cyndaquil	Cyndaquil (Winking)
winkingcyndaquil	Cyndaquil (Winking)
cyndaquil winking	Cyndaquil (Winking)
cyndaquilwinking	Cyndaquil (Winking)
damagestreak	Damage Streak
dragon dance	Dancing Dragons
dragondance	Dancing Dragons
dancingdragons	Dancing Dragons
dadra	Dancing Dragons
deci	Decidueye
dec	Decidueye
wdedenne	Dedenne (Winking)
w dedenne	Dedenne (Winking)
winking dedenne	Dedenne (Winking)
winkingdedenne	Dedenne (Winking)
dedbywinking	Dedenne (Winking)
dedennew	Dedenne (Winking)
dedenne w	Dedenne (Winking)
dedenne winking	Dedenne (Winking)
dedennewinking	Dedenne (Winking)
deerling autumn form	Deerling (Autumn Form)
deerling a	Deerling (Autumn Form)
deerling autumn	Deerling (Autumn Form)
deerlingautumn	Deerling (Autumn Form)
autumndeerling	Deerling (Autumn Form)
autumn deerling	Deerling (Autumn Form)
deerlinga	Deerling (Autumn Form)
deerlingspring	Deerling (Spring Form)
deerling spring form	Deerling (Spring Form)
deerling spring	Deerling (Spring Form)
springdeerling	Deerling (Spring Form)
spring deerling	Deerling (Spring Form)
deerling summer form	Deerling (Summer Form)
deerling summer	Deerling (Summer Form)
deerlingsummer	Deerling (Summer Form)
summerdeerling	Deerling (Summer Form)
summer deerling	Deerling (Summer Form)
deerling w	Deerling (Winter Form)
deerling winter form	Deerling (Winter Form)
deerling winter	Deerling (Winter Form)
deerlingwinter	Deerling (Winter Form)
winter deerling	Deerling (Winter Form)
winterdeerling	Deerling (Winter Form)
deerlingw	Deerling (Winter Form)
delcatty winking	Delcatty (Winking)
wdelcatty	Delcatty (Winking)
w delcatty	Delcatty (Winking)
delcattyw	Delcatty (Winking)
winking delcatty	Delcatty (Winking)
winkingdelcatty	Delcatty (Winking)
delcattywinking	Delcatty (Winking)
delcatty w	Delcatty (Winking)
holiday delibird	Delibird (Holiday)
holidaydelibird	Delibird (Holiday)
delibird holiday	Delibird (Holiday)
delibirdholiday	Delibird (Holiday)
hdelibird	Delibird (Holiday)
delibirdh	Delibird (Holiday)
h delibird	Delibird (Holiday)
delibird h	Delibird (Holiday)
delph	Delphox
delphy	Delphox
Deoxys-A	Deoxys (Attack Forme)
DeoxysA	Deoxys (Attack Forme)
DeoA	Deoxys (Attack Forme)
deoxys attack	Deoxys (Attack Forme)
deoxys attack forme	Deoxys (Attack Forme)
deoxys attacc	Deoxys (Attack Forme)
deo a	Deoxys (Attack Forme)
deoxys a	Deoxys (Attack Forme)
deoxysattackform	Deoxys (Attack Forme)
deoxys attack form	Deoxys (Attack Forme)
deoxysattack	Deoxys (Attack Forme)
Deoxys-D	Deoxys (Defense Forme)
DeoxysD	Deoxys (Defense Forme)
DeoD	Deoxys (Defense Forme)
deoxys defense	Deoxys (Defense Forme)
deoxys defense forme	Deoxys (Defense Forme)
deoxys defence	Deoxys (Defense Forme)
Deoxthicc	Deoxys (Defense Forme)
deo d	Deoxys (Defense Forme)
deoxys d	Deoxys (Defense Forme)
deoxys	Deoxys (Normal Forme)
deo	Deoxys (Normal Forme)
deon	Deoxys (Normal Forme)
deoxys normal form	Deoxys (Normal Forme)
deoxysnormal	Deoxys (Normal Forme)
deoxys normal	Deoxys (Normal Forme)
deoxysnormalform	Deoxys (Normal Forme)
deo n	Deoxys (Normal Forme)
deoxys n	Deoxys (Normal Forme)
Deoxys-S	Deoxys (Speed Forme)
DeoxysS	Deoxys (Speed Forme)
DeoS	Deoxys (Speed Forme)
deoxys speed	Deoxys (Speed Forme)
deoxys speed forme	Deoxys (Speed Forme)
deoxysspeed	Deoxys (Speed Forme)
deoxysspeedform	Deoxys (Speed Forme)
deoxys speed form	Deoxys (Speed Forme)
deo s	Deoxys (Speed Forme)
deoxys s	Deoxys (Speed Forme)
dia	Diancie
SDiancie	Diancie (Shiny)
s diancie	Diancie (Shiny)
diancie shiny	Diancie (Shiny)
shiny diancie	Diancie (Shiny)
shinydiancie	Diancie (Shiny)
diancieshiny	Diancie (Shiny)
diancies	Diancie (Shiny)
diancie s	Diancie (Shiny)
sdia	Diancie (Shiny)
adiglett	Diglett (Alola Form)
a diglett	Diglett (Alola Form)
digletta	Diglett (Alola Form)
diglett a	Diglett (Alola Form)
diglett alola form	Diglett (Alola Form)
diglettalolaform	Diglett (Alola Form)
diglett alola	Diglett (Alola Form)
diglettalola	Diglett (Alola Form)
alolan diglett	Diglett (Alola Form)
alolandiglett	Diglett (Alola Form)
dn	Double Normal
doublenormal	Double Normal
dragontalon	Dragon Talon
DNite	Dragonite
balloon	Drifblim
crimgan	Druddigon
:v	Ducklett
dug	Dugtrio
adug	Dugtrio (Alola Form)
adugtrio	Dugtrio (Alola Form)
a dugtrio	Dugtrio (Alola Form)
dugtrioa	Dugtrio (Alola Form)
dugtrio a	Dugtrio (Alola Form)
dugtrio alola form	Dugtrio (Alola Form)
dugtrioalolaform	Dugtrio (Alola Form)
dugtrio alola	Dugtrio (Alola Form)
dugtrioalola	Dugtrio (Alola Form)
alolan dugtrio	Dugtrio (Alola Form)
alolandugtrio	Dugtrio (Alola Form)
dusk	Dusknoir
eject+++	Eliminate
aexeggutor	Exeggutor (Alola Form)
a exeggutor	Exeggutor (Alola Form)
exeggutora	Exeggutor (Alola Form)
exeggutor a	Exeggutor (Alola Form)
alolan exeggutor	Exeggutor (Alola Form)
alolanexeggutor	Exeggutor (Alola Form)
exeggutor alola	Exeggutor (Alola Form)
exeggutoralola	Exeggutor (Alola Form)
exeggutor alola form	Exeggutor (Alola Form)
exeggutoralolaform	Exeggutor (Alola Form)
wfennekin	Fennekin (Winking)
w fennekin	Fennekin (Winking)
fennekinw	Fennekin (Winking)
winking fennekin	Fennekin (Winking)
winkingfennekin	Fennekin (Winking)
fennekin winking	Fennekin (Winking)
fennekinwinking	Fennekin (Winking)
fennekin w	Fennekin (Winking)
fera	Feraligatr
FE	Final Effort
finaleffort	Final Effort
flabebe	Flabébé
wflabebe	Flabébé (Winking)
w flabebe	Flabébé (Winking)
flabebew	Flabébé (Winking)
flabebe w	Flabébé (Winking)
winking flabebe	Flabébé (Winking)
winkingflabebe	Flabébé (Winking)
flabebe winking	Flabébé (Winking)
flabebewinking	Flabébé (Winking)
fm	Flash Mob
fml	Flash Mob
hasn't aged well	Flash Mob
flashmob	Flash Mob
wfloette	Floette (Winking)
w floette	Floette (Winking)
floettew	Floette (Winking)
floette w	Floette (Winking)
winking floette	Floette (Winking)
winkingfloette	Floette (Winking)
floette winking	Floette (Winking)
floettewinking	Floette (Winking)
flygod	Flygon
frillishf	Frillish (Female)
frillish f	Frillish (Female)
frillish female	Frillish (Female)
frillishfemale	Frillish (Female)
frillishm	Frillish (Male)
frillish m	Frillish (Male)
frillish male	Frillish (Male)
frillishmale	Frillish (Male)
wfroakie	Froakie (Winking)
winking froakie	Froakie (Winking)
winkingfroakie	Froakie (Winking)
froakiew	Froakie (Winking)
froakie winking	Froakie (Winking)
froakiewinking	Froakie (Winking)
w froakie	Froakie (Winking)
froakie w	Froakie (Winking)
fullpower	Full Power
furyof5	Fury of 5
galv	Galvantula
The one fucker that kills your SM run	Galvantula
SM Killer	Galvantula
Chomp	Garchomp
Garde	Gardevoir
gard	Gardevoir
sgard	Gardevoir (Shiny)
sgarde	Gardevoir (Shiny)
shiny gardevoir	Gardevoir (Shiny)
shinygardevoir	Gardevoir (Shiny)
gardevoir shiny	Gardevoir (Shiny)
gardevoirshiny	Gardevoir (Shiny)
sgardevoir	Gardevoir (Shiny)
s gardevoir	Gardevoir (Shiny)
gardevoirs	Gardevoir (Shiny)
gardevoir s	Gardevoir (Shiny)
gastrodon e	Gastrodon (East Sea)
gastrodon east sea	Gastrodon (East Sea)
gastrodon east	Gastrodon (East Sea)
gastrodoneast	Gastrodon (East Sea)
east gastrodon	Gastrodon (East Sea)
eastgastrodon	Gastrodon (East Sea)
gastrodone	Gastrodon (East Sea)
egastrodon	Gastrodon (East Sea)
e gastrodon	Gastrodon (East Sea)
gastrodon w	Gastrodon (West Sea)
gastrodon west sea	Gastrodon (West Sea)
gastrodon west	Gastrodon (West Sea)
gastrodonwest	Gastrodon (West Sea)
west gastrodon	Gastrodon (West Sea)
westgastrodon	Gastrodon (West Sea)
gastrodonw	Gastrodon (West Sea)
wgastrodon	Gastrodon (West Sea)
w gastrodon	Gastrodon (West Sea)
best pokemon for UX	Genesect
gene	Genesect
genesect shiny	Genesect (Shiny)
shiny genesect	Genesect (Shiny)
shinygenesect	Genesect (Shiny)
genesectshiny	Genesect (Shiny)
sgenesect	Genesect (Shiny)
s genesect	Genesect (Shiny)
genesects	Genesect (Shiny)
sgene	Genesect (Shiny)
genesect s	Genesect (Shiny)
shiny gengar	Gengar (Shiny)
gengar shiny	Gengar (Shiny)
gengarshiny	Gengar (Shiny)
shinygengar	Gengar (Shiny)
gengars	Gengar (Shiny)
s gengar	Gengar (Shiny)
gengar s	Gengar (Shiny)
Spookygengar	Gengar (Spooky)
spooky gengar	Gengar (Spooky)
sp gengar	Gengar (Spooky)
spgengar	Gengar (Spooky)
gengar spooky	Gengar (Spooky)
gengar sp	Gengar (Spooky)
gengarsp	Gengar (Spooky)
spoopy gengar	Gengar (Spooky)
spoopygengar	Gengar (Spooky)
ageodude	Geodude (Alola Form)
a geodude	Geodude (Alola Form)
geodudea	Geodude (Alola Form)
geodude a	Geodude (Alola Form)
alolan geodude	Geodude (Alola Form)
alolangeodude	Geodude (Alola Form)
geodude alola	Geodude (Alola Form)
geodudealola	Geodude (Alola Form)
geodude alola form	Geodude (Alola Form)
geodudealolaform	Geodude (Alola Form)
GiratinaA	Giratina (Altered Forme)
Giratina-A	Giratina (Altered Forme)
Altered Giratina	Giratina (Altered Forme)
giratinaaltered	Giratina (Altered Forme)
giraa	Giratina (Altered Forme)
gira a	Giratina (Altered Forme)
giratina altered form	Giratina (Altered Forme)
giratinaalteredform	Giratina (Altered Forme)
giratina altered	Giratina (Altered Forme)
giratina a	Giratina (Altered Forme)
Giratina-O	Giratina (Origin Forme)
GiratinaO	Giratina (Origin Forme)
Giratina Origin	Giratina (Origin Forme)
Origin Giratina	Giratina (Origin Forme)
giratinaorigin	Giratina (Origin Forme)
girao	Giratina (Origin Forme)
gira o	Giratina (Origin Forme)
giratinaoriginform	Giratina (Origin Forme)
giratina origin form	Giratina (Origin Forme)
giratina o	Giratina (Origin Forme)
wglalie	Glalie (Winking)
glaliew	Glalie (Winking)
winking glalie	Glalie (Winking)
winkingglalie	Glalie (Winking)
w glalie	Glalie (Winking)
glalie winking	Glalie (Winking)
glaliewinking	Glalie (Winking)
glalie w	Glalie (Winking)
agolem	Golem (Alola Form)
a golem	Golem (Alola Form)
golema	Golem (Alola Form)
golem a	Golem (Alola Form)
alolan golem	Golem (Alola Form)
alolangolem	Golem (Alola Form)
golem alola	Golem (Alola Form)
golemalola	Golem (Alola Form)
golem alola form	Golem (Alola Form)
golemalolaform	Golem (Alola Form)
golisirpod	Golisopod
goli	Golisopod
goodluck	Good Luck
spooky gourgeist	Gourgeist (Spooky)
spookygourgeist	Gourgeist (Spooky)
gourgeist spooky	Gourgeist (Spooky)
s gourgeist	Gourgeist (Spooky)
gourgeist s	Gourgeist (Spooky)
sp gourgeist	Gourgeist (Spooky)
spgourgeist	Gourgeist (Spooky)
gourgeist sp	Gourgeist (Spooky)
gourgeistsp	Gourgeist (Spooky)
sgourgeist	Gourgeist (Spooky)
gourgeists	Gourgeist (Spooky)
gourgeistspooky	Gourgeist (Spooky)
wgranbull	Granbull (Winking)
w granbull	Granbull (Winking)
granbullw	Granbull (Winking)
winking granbull	Granbull (Winking)
winkinggranbull	Granbull (Winking)
granbull winking	Granbull (Winking)
granbullwinking	Granbull (Winking)
granbull w	Granbull (Winking)
agraveler	Graveler (Alola Form)
a graveler	Graveler (Alola Form)
gravelera	Graveler (Alola Form)
graveler a	Graveler (Alola Form)
alolan graveler	Graveler (Alola Form)
alolangraveler	Graveler (Alola Form)
graveler alola	Graveler (Alola Form)
graveleralola	Graveler (Alola Form)
graveler alola form	Graveler (Alola Form)
graveleralolaform	Graveler (Alola Form)
Ashninja	Greninja (Ash-Greninja)
A-Greninja	Greninja (Ash-Greninja)
ashgreninja	Greninja (Ash-Greninja)
ag	Greninja (Ash-Greninja)
ash-greninja	Greninja (Ash-Greninja)
assninja	Greninja (Ash-Greninja)
ash greninja	Greninja (Ash-Greninja)
agrimer	Grimer (Alola Form)
a grimer	Grimer (Alola Form)
grimera	Grimer (Alola Form)
grimer a	Grimer (Alola Form)
alolan grimer	Grimer (Alola Form)
alolangrimer	Grimer (Alola Form)
grimer alola	Grimer (Alola Form)
grimeralola	Grimer (Alola Form)
grimer alola form	Grimer (Alola Form)
grimeralolaform	Grimer (Alola Form)
GF	Ground Forces
groundforces	Ground Forces
Surfer Trump	Gumshoos
gyara	Gyarados
sgyarados	Gyarados (Shiny)
s gyarados	Gyarados (Shiny)
gyaradoss	Gyarados (Shiny)
shiny gyarados	Gyarados (Shiny)
shinygyarados	Gyarados (Shiny)
gyarados shiny	Gyarados (Shiny)
gyaradosshiny	Gyarados (Shiny)
sgyara	Gyarados (Shiny)
sdos	Gyarados (Shiny)
gyarados s	Gyarados (Shiny)
red gyarados	Gyarados (Shiny)
hs	Hammering Streak
hammeringstreak	Hammering Streak
s-hawlucha	Hawlucha (Shiny)
slucha	Hawlucha (Shiny)
s hawlucha	Hawlucha (Shiny)
shawlucha	Hawlucha (Shiny)
hawluchas	Hawlucha (Shiny)
shiny hawlucha	Hawlucha (Shiny)
shinyhawlucha	Hawlucha (Shiny)
hawlucha shiny	Hawlucha (Shiny)
hawluchashiny	Hawlucha (Shiny)
hawlucha s	Hawlucha (Shiny)
SHaw	Hawlucha (Shiny)
shawl	Hawlucha (Shiny)
heavyhitter	Heavy Hitter
Hera	Heracross
itemgod	Heracross
succ	Heracross
hideandseek	Hide and Seek
quirky+++	Hide and Seek
hippopotasf	Hippopotas (Female)
hippopotas f	Hippopotas (Female)
hippopotas female	Hippopotas (Female)
hippopotasfemale	Hippopotas (Female)
hippopotasm	Hippopotas (Male)
hippopotas m	Hippopotas (Male)
hippopotas male	Hippopotas (Male)
hippopotasmale	Hippopotas (Male)
hippof	Hippowdon (Female)
hippo f	Hippowdon (Female)
hippowdonf	Hippowdon (Female)
hippowdon f	Hippowdon (Female)
hippowdon female	Hippowdon (Female)
hippowdonfemale	Hippowdon (Female)
Hippo	Hippowdon (Male)
hippom	Hippowdon (Male)
hippowdonm	Hippowdon (Male)
hippowdon m	Hippowdon (Male)
hippowdon male	Hippowdon (Male)
hippowdonmale	Hippowdon (Male)
hippo m	Hippowdon (Male)
Shitmonchan	Hitmonchan
Lee	Hitmonlee
hittingstreak	Hitting Streak
HS+	Hitting Streak+
hittingstreak+	Hitting Streak+
Hooh	Ho-Oh
ho oh	Ho-Oh
sho-oh	Ho-Oh (Shiny)
shinyhooh	Ho-Oh (Shiny)
shooh	Ho-Oh (Shiny)
shiny ho-oh	Ho-Oh (Shiny)
ho-oh shiny	Ho-Oh (Shiny)
ho-ohshiny	Ho-Oh (Shiny)
hoohs	Ho-Oh (Shiny)
ho-ohs	Ho-Oh (Shiny)
hoohshiny	Ho-Oh (Shiny)
shinyho-oh	Ho-Oh (Shiny)
ho-oh s	Ho-Oh (Shiny)
hooh s	Ho-Oh (Shiny)
ho oh s	Ho-Oh (Shiny)
s ho oh	Ho-Oh (Shiny)
s ho-oh	Ho-Oh (Shiny)
shiny ho oh	Ho-Oh (Shiny)
ho oh shiny	Ho-Oh (Shiny)
s hooh	Ho-Oh (Shiny)
Hoopa-C	Hoopa (Hoopa Confined)
Hoopa-Confined	Hoopa (Hoopa Confined)
HoopaC	Hoopa (Hoopa Confined)
hoopa confined	Hoopa (Hoopa Confined)
hoopaconfined	Hoopa (Hoopa Confined)
hoopa c	Hoopa (Hoopa Confined)
choopa	Hoopa (Hoopa Confined)
c hoopa	Hoopa (Hoopa Confined)
confinedhoopa	Hoopa (Hoopa Confined)
confined hoopa	Hoopa (Hoopa Confined)
Hoopa-U	Hoopa (Hoopa Unbound)
HoopaU	Hoopa (Hoopa Unbound)
Hoopa-Unbound	Hoopa (Hoopa Unbound)
hoopa unbound	Hoopa (Hoopa Unbound)
hoopaunbound	Hoopa (Hoopa Unbound)
hoopa u	Hoopa (Hoopa Unbound)
uhoopa	Hoopa (Hoopa Unbound)
unboundhoopa	Hoopa (Hoopa Unbound)
u hoopa	Hoopa (Hoopa Unbound)
unbound hoopa	Hoopa (Hoopa Unbound)
whoppip	Hoppip (Winking)
w hoppip	Hoppip (Winking)
hoppipw	Hoppip (Winking)
winking hoppip	Hoppip (Winking)
winkinghoppip	Hoppip (Winking)
hoppip winking	Hoppip (Winking)
hoppipwinking	Hoppip (Winking)
hoppip w	Hoppip (Winking)
hyperbolt	Hyper Bolt
hd	Hyper Drain
hyperdrain	Hyper Drain
hyperpunch	Hyper Punch
icedance	Ice Dance
inc	Incineroar
ape	Infernape
jellicent female	Jellicent (Female)
jellicentf	Jellicent (Female)
jellicent f	Jellicent (Female)
jellicentfemale	Jellicent (Female)
jellif	Jellicent (Female)
jelli f	Jellicent (Female)
jellicent male	Jellicent (Male)
pringles	Jellicent (Male)
jelli m	Jellicent (Male)
jellicentm	Jellicent (Male)
jellicent m	Jellicent (Male)
jellicentmale	Jellicent (Male)
